Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0017116~single-stranded DNA-dependent ATP-dependent DNA helicase activity	5	4.310344827586207	3.361110157259755E-6	PIF1, MCM3, MCM4, MCM5, MCM2	101	20	18883	46.74009900990099	7.223788569300504E-4	7.226386838108473E-4	7.024720228672888E-4
GOTERM_MF_DIRECT	GO:0010997~anaphase-promoting complex binding	4	3.4482758620689653	1.1828832016125016E-5	CDC20, UBE2S, PLK1, FBXO5	101	9	18883	83.0935093509351	0.0025399826964006555	0.0010163353392781745	9.87972492600644E-4
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	10	8.620689655172415	1.4181423338765226E-5	CENPE, CENPF, PSRC1, KIF26B, PLK1, KIF23, FMN1, KIF20A, GTSE1, DLGAP5	101	272	18883	6.873543972044264	0.00304438407354235	0.0010163353392781745	9.87972492600644E-4
GOTERM_MF_DIRECT	GO:0003697~single-stranded DNA binding	7	6.0344827586206895	2.3461181309090027E-5	FAM111A, MCM3, HMGB2, MCM4, MCM5, MCM6, MCM2	101	108	18883	12.117803447011369	0.0050315124740788475	0.001261038495363589	0.001225846723399954
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	9	7.758620689655173	0.0020017734795111253	PIF1, ATAD2, MCM3, MCM4, KIF23, MCM5, KIF20A, MCM6, MCM2	101	429	18883	3.9222460707609224	0.35001931814261344	0.08607625961897838	0.08367413144356503
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	4	3.4482758620689653	0.0037791708479980707	CENPE, KIF26B, KIF23, KIF20A	101	59	18883	12.675281087430777	0.5569448128425483	0.12346209407453881	0.12001664028641215
GOTERM_MF_DIRECT	GO:0008301~DNA binding, bending	3	2.586206896551724	0.004019696086147775	TOP2A, LEF1, HMGB2	101	18	18883	31.16006600660066	0.5793593226395328	0.12346209407453881	0.12001664028641215
GOTERM_MF_DIRECT	GO:0003677~DNA binding	16	13.793103448275861	0.004849423172621757	TOP2A, PCNA, XRCC2, LEF1, HMGB2, GATA3, CENPA, SIX6, NR4A3, MT-RNR1, MCM3, MCM4, MCM5, MCM6, MCM2, ZNF233	101	1350	18883	2.2158269160249358	0.6483652388229489	0.1303282477642097	0.1266911803847434
GOTERM_MF_DIRECT	GO:0005524~ATP binding	17	14.655172413793101	0.006856901958876347	TOP2A, PIF1, SLFN5, XRCC2, PLK1, ATAD2, KIF23, AURKA, CENPE, UBE2S, KIF26B, MCM3, MCM4, MCM5, KIF20A, MCM6, MCM2	101	1540	18883	2.063848527709914	0.7722055254800291	0.16380376901760163	0.15923250104501738
GOTERM_MF_DIRECT	GO:0005515~protein binding	79	68.10344827586206	0.01256418086804835	TOP2A, SYNM, ARL6IP1, PRDM6, NCAPG2, HMGB2, MT-ND3, CDC20, PTTG1, TRPS1, PCLAF, MYBL2, FBXO5, GTSE1, TNFRSF4, SOX4, DLGAP5, SIGLECL1, SPINK2, VWF, IGFBP2, SERPINF2, KIF23, PDZK1, PIMREG, KLHL41, TUBA4A, TERB1, PSRC1, DDIT4, MATN1, CFAP58, MCM3, MAL, MCM4, MCM5, KIF20A, MCM6, MCM2, PCNA, CDCA3, RRAD, CDCA5, LEF1, CACNA1C, GATA3, HMMR, CENPA, AURKA, DLL4, CCNB2, PDLIM3, CCNB1, KIF25-AS1, LAIR2, CSMD1, JAM3, GINS2, DUT, RRM2, FYB1, CD70, BNIP3, XRCC2, PLK1, ATAD2, SMAD9, CD2, FAM111B, FAM111A, CENPE, CENPF, NR4A3, P4HA1, UBE2S, PTPN7, LAT, CDKN3, SPC25	101	12707	18883	1.1623413305366108	0.9340205655443519	0.24618204292438395	0.23931184637765693
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	8	6.896551724137931	0.01428547351283093	CCNB1, NR4A3, PLK1, KIF20A, FBXO5, LAT, TUBA4A, AURKA	101	483	18883	3.0966525223950967	0.9546582045866354	0.24618204292438395	0.23931184637765693
GOTERM_MF_DIRECT	GO:0004386~helicase activity	4	3.4482758620689653	0.014837751668438644	MCM3, MCM4, MCM5, MCM2	101	97	18883	7.709707053179544	0.959805312150234	0.24618204292438395	0.23931184637765693
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	8	6.896551724137931	0.014885425851241819	TOP2A, CENPF, PCNA, CDCA5, ATAD2, LEF1, PCLAF, CENPA	101	487	18883	3.0712180047573545	0.9602213527927723	0.24618204292438395	0.23931184637765693
GOTERM_MF_DIRECT	GO:0003678~DNA helicase activity	3	2.586206896551724	0.01900330702082647	PIF1, MCM4, MCM6	101	40	18883	14.022029702970295	0.9838370057633535	0.2918365006769779	0.28369222623948087
GOTERM_MF_DIRECT	GO:0043138~3'-5' DNA helicase activity	2	1.7241379310344827	0.061747998326708034	MCM5, MCM2	101	12	18883	31.160066006600662	0.9999988813546626	0.8850546426828152	0.860355443352132
GOTERM_MF_DIRECT	GO:0003688~DNA replication origin binding	2	1.7241379310344827	0.08147973134501438	MCM5, MCM2	101	16	18883	23.370049504950494	0.9999999884100919	1.0	0.9766355140186916
GOTERM_MF_DIRECT	GO:0000400~four-way junction DNA binding	2	1.7241379310344827	0.09119097621366003	XRCC2, HMGB2	101	18	18883	20.773377337733773	0.9999999988207237	1.0	0.9766355140186916
