pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.614754098360656	0.894013993262503	0.0847985102819124	-0.398496240601504	-0.847999291504503	3	TKT RTN3 RETN
HALLMARK_ALLOGRAFT_REJECTION	0.279352226720648	0.718334297281666	0.16823816568964	-0.353860692301312	-1.17720168184093	7	HLA-A HLA-E FYB1 B2M SPI1 CTSS
HALLMARK_ANGIOGENESIS	0.81591263650546	0.894013993262503	0.0436251240000606	0.373608004222116	0.734268176396988	3	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.0141728887545974	0.0850373325275847	0.380730400722792	-0.742424242424242	-1.80040711214386	4	ACTG1 GNAI2 FYB1 MYH9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0737704918032787	0.331967213114754	0.276500599254472	-0.729323308270677	-1.55199870331956	3	ACTG1 PLSCR1 S100A11
HALLMARK_COAGULATION	0.780185758513932	0.894013993262503	0.0787113806986485	-0.310606060606061	-0.753231546917328	4	OLR1 MMP8 LTA4H WDR1
HALLMARK_COMPLEMENT	0.252032520325203	0.718334297281666	0.257206466468838	-0.243697478991597	-1.15935717392438	17	FCN1 CALM1 GNAI2 OLR1 PLSCR1 MMP8 EHD1 CTSS S100A9 LTF ITGAM FCER1G CDA LTA4H S100A12 HSPA1A GNG2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.19672131147541	0.708196721311475	0.16440575583821	-0.609022556390977	-1.295998917205	3	BASP1 VIM EMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.37431693989071	0.842213114754098	0.114750719227023	-0.511278195488722	-1.08799909098691	3	RAB31 S100A9 LTF
HALLMARK_HYPOXIA	0.844346549192364	0.894013993262503	0.0392758570896778	0.316606487249452	0.676275427852431	4	IER3 S100A4 MYH9 GAPDH
HALLMARK_IL2_STAT5_SIGNALING	0.594713656387665	0.894013993262503	0.0553642837725362	0.431453811802315	0.921590753588317	4	PLEC SELL CKAP4
HALLMARK_INFLAMMATORY_RESPONSE	0.675753228120517	0.894013993262503	0.0484087618816951	0.375378784261977	0.857824331733019	5	C5AR1 PTAFR SELL
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00404058766858023	0.0363652890172221	0.407017918923954	0.581097999838599	1.86051839456616	14	IFI27 MX1 IFI44 IFI44L ISG15 PARP14 EPSTI1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00175241476922517	0.0315434658460531	0.45505986738723	0.59685245321493	1.99413423774513	16	IFI27 MX1 XAF1 IFI44 IFI44L ISG15 PARP14 EPSTI1
HALLMARK_KRAS_SIGNALING_UP	0.90674318507891	0.90674318507891	0.0348652196832942	0.267519387213195	0.611341528032732	5	ADAM8 RETN FCER1G CTSS
HALLMARK_MTORC1_SIGNALING	0.834633385335413	0.894013993262503	0.0425877779273254	0.365401515142644	0.718139603928227	3	CORO1A LTA4H
HALLMARK_MYOGENESIS	0.476780185758514	0.894013993262503	0.107140237276725	-0.39313077234084	-0.953357121278647	4	TPM3 MYH9 SVIL
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.622464898595944	0.894013993262503	0.0560595875032335	0.438099745194897	0.861016619957094	3	IER3 EHD1 OLR1
